time_s,mode,targetDepth_m,depth_m,current_A,currentRawAdc,controlOutput,Kp,Ki,Kd
3.700,1,1.0000,0.7988,-2.102,471.000,-1.94220,2.000,0.700,2.000
3.800,1,1.0000,0.7385,-9.677,316.000,-0.16735,2.000,0.700,2.000
3.900,1,1.0000,0.7824,-15.934,188.000,-1.46696,2.000,0.700,2.000
4.000,1,1.0000,0.8029,-6.745,376.000,-1.90236,2.000,0.700,2.000
4.100,1,1.0000,0.7436,-3.421,444.000,0.52225,2.000,0.700,2.000
4.200,1,1.0000,0.7630,-1.760,478.000,-1.42050,2.000,0.700,2.000
4.300,1,1.0000,0.7620,-1.515,483.000,-1.36042,2.000,0.700,2.000
4.400,1,1.0000,0.7671,-5.914,393.000,-0.86337,2.000,0.700,2.000
4.500,1,1.0000,0.7620,-1.124,491.000,-1.12257,2.000,0.700,2.000
4.600,1,1.0000,0.7477,-2.004,473.000,-0.78986,2.000,0.700,2.000
4.700,1,1.0000,0.7374,-9.775,314.000,-1.52762,2.000,0.700,2.000
4.800,1,1.0000,0.7640,-2.493,463.000,-0.74606,2.000,0.700,2.000
4.900,1,1.0000,0.7558,-1.222,489.000,-0.83523,2.000,0.700,2.000
5.000,1,1.0000,0.7620,-0.538,503.000,-1.52562,2.000,0.700,2.000
5.100,1,1.0000,0.7620,-5.425,403.000,-0.73718,2.000,0.700,2.000
5.200,1,1.0000,0.7425,-2.444,464.000,-0.83818,2.000,0.700,2.000
5.300,1,1.0000,0.7610,-4.790,416.000,-1.14421,2.000,0.700,2.000
5.400,1,1.0000,0.7415,-2.199,469.000,-0.84157,2.000,0.700,2.000
5.500,1,1.0000,0.7507,-10.020,309.000,-0.55619,2.000,0.700,2.000
5.600,1,1.0000,0.7303,-10.655,296.000,1.13108,2.000,0.700,2.000
5.700,1,1.0000,0.7313,-3.030,452.000,-1.46214,2.000,0.700,2.000
5.800,1,1.0000,0.7333,-4.985,412.000,-0.22048,2.000,0.700,2.000
5.900,1,1.0000,0.7282,-3.812,436.000,0.05378,2.000,0.700,2.000
6.000,1,1.0000,0.7057,-11.681,275.000,1.14080,2.000,0.700,2.000
6.100,1,1.0000,0.7221,-2.786,457.000,-0.52001,2.000,0.700,2.000
6.200,1,1.0000,0.7108,-4.008,432.000,0.43323,2.000,0.700,2.000
6.300,1,1.0000,0.7303,-4.399,424.000,0.12640,2.000,0.700,2.000
6.400,1,1.0000,0.7067,-2.444,464.000,0.84752,2.000,0.700,2.000
6.500,1,1.0000,0.6832,-3.275,447.000,0.91571,2.000,0.700,2.000
6.600,1,1.0000,0.7200,-7.185,367.000,-0.61090,2.000,0.700,2.000
6.700,1,1.0000,0.7241,-10.606,297.000,0.29974,2.000,0.700,2.000
6.800,1,1.0000,0.7006,-2.444,464.000,-0.73643,2.000,0.700,2.000
6.900,1,1.0000,0.7139,-2.102,471.000,-0.49731,2.000,0.700,2.000
7.000,1,1.0000,0.7139,-0.782,498.000,-0.02744,2.000,0.700,2.000
7.100,1,1.0000,0.7180,-0.684,500.000,-0.17398,2.000,0.700,2.000
7.200,1,1.0000,0.7170,-1.124,491.000,-0.03512,2.000,0.700,2.000
7.300,1,1.0000,0.7139,-0.293,508.000,0.07266,2.000,0.700,2.000
7.400,1,1.0000,0.7098,-0.342,507.000,0.14181,2.000,0.700,2.000
7.500,1,1.0000,0.7067,-0.391,506.000,0.16822,2.000,0.700,2.000
7.600,1,1.0000,0.7037,-0.440,505.000,0.27660,2.000,0.700,2.000
7.700,1,1.0000,0.6802,-5.132,409.000,0.30484,2.000,0.700,2.000
7.800,1,1.0000,0.6669,-2.444,464.000,1.17198,2.000,0.700,2.000
7.900,1,1.0000,0.6955,-2.835,456.000,0.11313,2.000,0.700,2.000
8.000,1,1.0000,0.6996,-0.196,510.000,-0.11938,2.000,0.700,2.000
8.100,1,1.0000,0.6945,-0.391,506.000,-0.01148,2.000,0.700,2.000
8.200,1,1.0000,0.6924,-0.244,509.000,0.38763,2.000,0.700,2.000
8.300,1,1.0000,0.7016,-0.587,502.000,-0.18244,2.000,0.700,2.000
8.400,1,1.0000,0.6986,-0.196,510.000,0.00852,2.000,0.700,2.000
8.500,1,1.0000,0.6986,-0.342,507.000,-0.01118,2.000,0.700,2.000
8.600,1,1.0000,0.7057,-0.635,501.000,0.24045,2.000,0.700,2.000
8.700,1,1.0000,0.7139,-1.466,484.000,-0.49175,2.000,0.700,2.000
8.800,1,1.0000,0.7272,-0.733,499.000,-0.00820,2.000,0.700,2.000
8.900,1,1.0000,0.6822,-3.812,436.000,1.86181,2.000,0.700,2.000
9.000,1,1.0000,0.7098,-2.639,460.000,-1.60809,2.000,0.700,2.000
9.100,1,1.0000,0.7129,-2.346,466.000,-0.07273,2.000,0.700,2.000
9.200,1,1.0000,0.7078,-1.124,491.000,0.52303,2.000,0.700,2.000
ERROR,Sensor values invalid during run
