time_s,mode,targetDepth_m,depth_m,current_A,currentRawAdc,controlOutput,Kp,Ki,Kd
0.100,1,1.0000,0.7896,-0.147,511.000,-1.48270,2.000,0.700,2.000
0.200,1,1.0000,0.7855,-0.391,506.000,-1.50045,2.000,0.700,2.000
0.300,1,1.0000,0.7835,-0.342,507.000,-1.48124,2.000,0.700,2.000
0.400,1,1.0000,0.7804,-3.959,433.000,-1.37801,2.000,0.700,2.000
0.500,1,1.0000,0.7835,-11.437,280.000,-1.81873,2.000,0.700,2.000
0.600,1,1.0000,0.7088,-11.535,278.000,4.27823,2.000,0.700,2.000
0.700,1,1.0000,0.7620,-3.275,447.000,-2.76523,2.000,0.700,2.000
0.800,1,1.0000,0.7517,-6.012,391.000,-0.19193,2.000,0.700,2.000
0.900,1,1.0000,0.7773,-3.763,437.000,-0.67815,2.000,0.700,2.000
1.000,1,1.0000,0.7855,-10.508,299.000,-1.62029,2.000,0.700,2.000
1.100,1,1.0000,0.8039,-11.486,279.000,-2.76968,2.000,0.700,2.000
1.200,1,1.0000,0.7119,-6.794,375.000,-0.00714,2.000,0.700,2.000
1.300,1,1.0000,0.7671,-1.808,477.000,-0.83813,2.000,0.700,2.000
1.400,1,1.0000,0.7824,-10.557,298.000,-1.22189,2.000,0.700,2.000
1.500,1,1.0000,0.7661,-11.535,278.000,-0.55976,2.000,0.700,2.000
1.600,1,1.0000,0.7712,-10.753,294.000,-1.74919,2.000,0.700,2.000
1.700,1,1.0000,0.7344,-2.737,458.000,-0.95249,2.000,0.700,2.000
1.800,1,1.0000,0.7742,-3.421,444.000,-1.42543,2.000,0.700,2.000
1.900,1,1.0000,0.7845,-3.372,445.000,-1.59416,2.000,0.700,2.000
2.000,1,1.0000,0.7650,-5.914,393.000,-0.80280,2.000,0.700,2.000
2.100,1,1.0000,0.7436,-10.655,296.000,-0.40781,2.000,0.700,2.000
2.200,1,1.0000,0.7313,-10.802,293.000,0.73111,2.000,0.700,2.000
2.300,1,1.0000,0.7098,-2.444,464.000,-0.59700,2.000,0.700,2.000
2.400,1,1.0000,0.7569,-11.095,287.000,-1.41023,2.000,0.700,2.000
2.500,1,1.0000,0.7753,-4.545,421.000,-1.83983,2.000,0.700,2.000
2.600,1,1.0000,0.7528,-11.193,285.000,0.88000,2.000,0.700,2.000
2.700,1,1.0000,0.7425,-3.568,441.000,-0.84089,2.000,0.700,2.000
2.800,1,1.0000,0.7671,-5.865,394.000,-1.81399,2.000,0.700,2.000
2.900,1,1.0000,0.7681,-5.279,406.000,-1.39041,2.000,0.700,2.000
3.000,1,1.0000,0.7446,-11.290,283.000,1.04559,2.000,0.700,2.000
3.100,1,1.0000,0.7569,-3.030,452.000,-0.40365,2.000,0.700,2.000
3.200,1,1.0000,0.7712,-11.290,283.000,-0.77540,2.000,0.700,2.000
3.300,1,1.0000,0.7773,-3.030,452.000,-0.56792,2.000,0.700,2.000
3.400,1,1.0000,0.8111,-10.459,300.000,-2.29849,2.000,0.700,2.000
3.500,1,1.0000,0.7927,-3.861,435.000,-1.71470,2.000,0.700,2.000
3.600,1,1.0000,0.7855,-0.880,496.000,-1.35775,2.000,0.700,2.000
