time_s,mode,targetDepth_m,depth_m,current_A,currentRawAdc,controlOutput,Kp,Ki,Kd
0.100,1,1.0000,0.8561,-0.147,511.000,0.14451,1.000,0.040,2.500
0.200,1,1.0000,0.8510,-0.391,506.000,0.40590,1.000,0.040,2.500
0.300,1,1.0000,0.8530,-0.196,510.000,-0.00466,1.000,0.040,2.500
0.400,1,1.0000,0.8458,-0.782,498.000,0.61676,1.000,0.040,2.500
0.500,1,1.0000,0.8561,-5.425,403.000,-0.82475,1.000,0.040,2.500
0.600,1,1.0000,0.8315,-3.030,452.000,-1.77109,1.000,0.040,2.500
0.700,1,1.0000,0.8602,-1.369,486.000,-0.72521,1.000,0.040,2.500
0.800,1,1.0000,0.8203,-3.519,442.000,1.87120,1.000,0.040,2.500
0.900,1,1.0000,0.8479,-5.670,398.000,0.05541,1.000,0.040,2.500
1.000,1,1.0000,0.8325,-3.910,434.000,1.86123,1.000,0.040,2.500
1.119,1,1.0000,0.8530,-2.395,465.000,0.46569,1.000,0.040,2.500
1.203,1,1.0000,0.8489,-1.124,491.000,-1.43959,1.000,0.040,2.500
1.300,1,1.0000,0.8550,-2.151,470.000,-0.40958,1.000,0.040,2.500
1.400,1,1.0000,0.8571,-1.320,487.000,0.45830,1.000,0.040,2.500
1.500,1,1.0000,0.8233,-4.203,428.000,0.64616,1.000,0.040,2.500
1.600,1,1.0000,0.8458,-3.666,439.000,0.21620,1.000,0.040,2.500
1.700,1,1.0000,0.8407,-0.342,507.000,0.73228,1.000,0.040,2.500
1.800,1,1.0000,0.8325,-0.538,503.000,0.53656,1.000,0.040,2.500
1.900,1,1.0000,0.8510,-1.760,478.000,-0.60628,1.000,0.040,2.500
2.000,1,1.0000,0.8479,-6.061,390.000,-0.96054,1.000,0.040,2.500
2.100,1,1.0000,0.8295,-2.444,464.000,-2.31513,1.000,0.040,2.500
2.200,1,1.0000,0.8561,-11.877,271.000,-1.73438,1.000,0.040,2.500
2.300,1,1.0000,0.8602,-0.978,494.000,0.00083,1.000,0.040,2.500
2.400,1,1.0000,0.8141,-10.802,293.000,1.83741,1.000,0.040,2.500
2.500,1,1.0000,0.8387,-2.590,461.000,-1.20365,1.000,0.040,2.500
2.600,1,1.0000,0.8540,-1.026,493.000,-0.55357,1.000,0.040,2.500
2.700,1,1.0000,0.8387,-0.929,495.000,-1.96940,1.000,0.040,2.500
2.800,1,1.0000,0.8121,-7.234,366.000,1.07513,1.000,0.040,2.500
2.900,1,1.0000,0.8254,-2.102,471.000,0.34657,1.000,0.040,2.500
3.000,1,1.0000,0.8264,-1.906,475.000,-0.11400,1.000,0.040,2.500
3.100,1,1.0000,0.8100,-1.760,478.000,0.98297,1.000,0.040,2.500
3.200,1,1.0000,0.8039,-2.053,472.000,0.26799,1.000,0.040,2.500
3.300,1,1.0000,0.8213,-3.617,440.000,0.50700,1.000,0.040,2.500
3.400,1,1.0000,0.8653,-5.474,402.000,-2.50241,1.000,0.040,2.500
3.500,1,1.0000,0.7937,-2.590,461.000,0.17811,1.000,0.040,2.500
3.600,1,1.0000,0.8039,-9.580,318.000,1.24256,1.000,0.040,2.500
3.700,1,1.0000,0.8325,-2.737,458.000,0.08953,1.000,0.040,2.500
3.800,1,1.0000,0.8162,-5.523,401.000,0.66914,1.000,0.040,2.500
3.900,1,1.0000,0.7835,-5.963,392.000,3.25958,1.000,0.040,2.500
4.000,1,1.0000,0.8090,-5.816,395.000,0.57552,1.000,0.040,2.500
4.100,1,1.0000,0.8366,-2.981,453.000,-0.38472,1.000,0.040,2.500
