Calibrating current sensor...
Make sure motor is NOT moving!
Zero ADC: 467.79
Zero voltage: 2.286
Test current (~0 A): -0.361
Starting test in 3 seconds...
Time_s,RPM,Current_A
2.130008,0.00,0.435581
2.140012,0.00,-0.629911
2.150008,0.00,-0.043402
2.160008,0.00,-0.033627
2.170016,0.00,0.401368
2.180012,0.00,0.645747
2.190012,0.00,0.596871
2.200012,0.00,0.616422
2.210004,0.00,-1.050243
2.220012,0.00,0.406256
2.230008,0.00,0.401368
2.240012,0.00,-0.048289
2.250004,0.00,0.113001
2.260008,0.00,-0.864515
2.270008,0.00,-0.493059
2.280008,0.00,0.200977
2.290004,0.00,0.308504
2.300008,0.00,0.587096
2.310012,0.00,0.103226
2.320016,0.00,0.474682
2.330008,0.00,0.318279
2.340012,0.00,0.274291
2.350008,0.00,0.059237
2.360012,0.00,0.391593
2.370004,0.00,0.269403
2.380012,0.00,-0.087390
2.390012,0.00,0.420918
2.400008,0.00,-0.678787
2.410008,0.00,0.538220
2.420004,0.00,0.640860
2.430004,0.00,0.073900
2.440004,0.00,0.357380
2.450004,0.00,-0.331769
2.460012,0.00,-0.747213
2.470012,0.00,0.670185
2.480012,0.00,0.508895
2.490004,0.00,-0.488172
2.500012,0.00,-0.625024
2.510012,0.00,-0.458846
2.520004,0.00,-0.664124
2.530004,0.00,-0.136266
2.540008,0.00,0.127664
2.550004,0.00,-0.238905
2.560016,0.00,-0.204692
2.570008,0.00,-0.849853
2.580012,0.00,0.474682
2.590004,0.00,0.352492
2.600004,0.00,0.699511
2.610008,0.00,0.416031
2.620008,0.00,-0.649462
2.630004,0.00,-0.258455
2.640004,0.00,-0.571260
2.650008,0.00,0.450244
2.660016,0.00,-0.361094
2.670016,0.00,0.640860
2.680004,0.00,0.797262
2.690008,0.00,0.655522
2.700004,0.00,0.479569
2.710012,0.00,-0.199804
2.720008,0.00,-0.752101
2.730004,0.00,-1.118669
2.740012,0.00,-0.585923
2.750008,0.00,0.284066
2.760004,0.00,-0.791202
2.770012,0.00,0.543108
2.780004,0.00,-0.253568
2.790008,0.00,-1.025805
2.800016,0.00,-0.004301
2.810012,0.00,0.000587
2.820008,0.00,0.069013
2.830012,0.00,-0.375757
2.840008,0.00,0.650635
2.850008,0.00,-0.766764
2.860016,0.00,0.113001
2.870008,0.00,-0.141153
2.880012,0.00,0.650635
2.890012,0.00,0.543108
2.900004,0.00,0.269403
2.910004,0.00,-0.234017
2.920004,0.00,-0.131378
2.930004,0.00,0.416031
2.940004,0.00,0.635972
2.950012,0.00,0.645747
2.960012,0.00,-0.615249
2.970016,0.00,0.450244
2.980012,0.00,-0.556598
2.990004,0.00,-0.194917
3.000004,0.00,0.464907
3.010088,35.00,2.317302
3.020068,35.00,-0.884066
3.030048,35.00,-1.548777
3.040036,35.00,0.660410
3.050092,35.00,-1.348386
3.060096,35.00,-0.537047
3.070080,35.00,0.113001
3.080032,35.00,-0.903616
3.090004,35.00,-1.876247
3.100100,35.00,-1.485240
3.110080,35.00,-1.265297
3.120060,35.00,-0.023851
3.130040,35.00,-2.032647
3.140020,35.00,1.286023
3.150096,35.00,-0.947604
3.160076,35.00,-1.959333
3.170056,35.00,0.362267
3.180032,35.00,-1.944673
3.190024,35.00,-0.434408
3.200004,35.00,1.334898
3.210076,35.00,-2.145064
3.220068,35.00,0.254741
3.230036,35.00,0.611534
3.240016,35.00,-0.717888
3.250096,35.00,-1.543889
3.260080,35.00,0.000587
3.270024,35.00,-0.253568
3.280012,35.00,0.855913
3.290080,35.00,-0.390420
3.300044,35.00,-1.338611
3.310036,35.00,0.396481
3.320008,35.00,-0.908504
3.330080,35.00,-1.221311
3.340064,35.00,0.538220
3.350024,35.00,-0.268230
3.360008,35.00,-0.796089
3.370080,35.00,-1.900685
3.380044,35.00,-0.732551
3.390032,35.00,-0.815639
3.400020,35.00,-0.053177
3.410092,35.00,0.987878
3.420044,35.00,0.308504
3.430004,35.00,-0.473509
3.440080,35.00,0.029912
3.450040,35.00,-0.380645
3.460012,35.00,1.623266
3.470100,35.00,-2.233040
3.480080,35.00,-0.072727
3.490056,35.00,-0.678787
3.500040,35.00,-0.859628
3.510004,35.00,0.591984
3.520080,35.00,-0.859628
3.530056,35.00,0.489345
3.540028,35.00,-1.177320
3.550028,35.00,-1.490128
3.560004,35.00,0.733724
3.570080,35.00,-1.617203
3.580064,35.00,-3.176345
3.590060,35.00,-1.235971
3.600048,35.00,1.217597
3.610020,35.00,0.205865
3.620092,35.00,0.044575
3.630052,35.00,-1.294625
3.640040,35.00,-2.242815
3.650024,35.00,-1.441252
3.660024,35.00,-0.434408
3.670004,35.00,0.860801
3.680064,35.00,-0.517497
3.690044,35.00,-0.903616
3.700028,35.00,0.753276
3.710100,35.00,0.259628
3.720052,35.00,1.212709
3.730036,35.00,-1.504788
3.740020,35.00,0.342717
3.750084,35.00,-0.835190
3.760076,35.00,-0.888953
3.770056,35.00,0.205865
3.780012,35.00,0.464907
3.790084,35.00,-2.975953
3.800080,35.00,-2.218378
3.810064,35.00,-0.400195
3.820036,35.00,0.332942
3.830004,35.00,0.274291
3.840076,35.00,0.103226
3.850048,35.00,-2.091300
3.860020,35.00,-0.419745
3.870100,35.00,-0.659237
3.880088,35.00,-1.470575
3.890072,35.00,-0.014076
3.900044,35.00,1.417985
3.910016,35.00,-1.421700
3.920012,35.00,1.305571
3.930084,35.00,-0.341544
3.940076,35.00,-0.224242
3.950060,35.00,1.266472
3.960036,35.00,-0.585923
3.970028,35.00,-0.287781
3.980012,35.00,1.623266
3.990092,35.00,-0.092278
4.000080,35.00,-1.382599
4.010016,0.00,-0.590811
4.020004,0.00,1.227369
4.030004,0.00,-3.616227
4.040008,0.00,-1.177320
4.050004,0.00,-0.351319
4.060012,0.00,-0.385532
4.070016,0.00,0.582209
4.080008,0.00,-0.390420
4.090016,0.00,0.391593
4.100004,0.00,0.528445
4.110008,0.00,0.142326
4.120008,0.00,0.469794
4.130012,0.00,0.244966
4.140008,0.00,-0.072727
4.150004,0.00,-0.395308
4.160012,0.00,0.499120
4.170004,0.00,0.279179
4.180004,0.00,0.093451
4.190004,0.00,-0.541935
4.200004,0.00,-0.058064
4.210012,0.00,0.523558
4.220004,0.00,0.127664
4.230012,0.00,-0.444183
4.240008,0.00,-0.463734
4.250004,0.00,-0.478396
4.260012,0.00,0.269403
4.270016,0.00,-0.439296
4.280008,0.00,0.445356
4.290008,0.00,0.381818
4.300012,0.00,-0.453959
4.310004,0.00,-0.282893
4.320004,0.00,-0.463734
4.330016,0.00,0.523558
4.340008,0.00,0.376930
4.350008,0.00,0.489345
4.360004,0.00,-0.072727
4.370016,0.00,-0.243793
4.380016,0.00,-0.004301
4.390008,0.00,-0.434408
4.400012,0.00,-0.136266
4.410004,0.00,0.538220
4.420004,0.00,0.386705
4.430012,0.00,0.025024
4.440012,0.00,0.078788
