08750,1557,-0.03079
42.10000,1541,0.01808
42.11250,1528,-0.0300.01250,1701,0.02835
0.02501,1703,-0.02053
0.03750,1704,0.02835
0.05000,1706,0.02835
0.06250,1707,0.02835
0.07500,1709,-0.02053
0.08750,1710,0.02835
0.10000,1712,0.02835
0.11250,1714,0.02835
0.12500,1715,0.02835
0.13750,1717,-0.02053
0.15000,1718,-0.36266
0.16250,1720,-0.41153
0.17500,1721,-0.36266
0.18750,1723,-0.26491
0.20000,1725,-0.16716
0.21250,1726,-0.11828
0.22501,1728,-0.06940
0.23750,1729,-0.11828
0.25000,1731,-0.11828
0.26251,1732,-0.06940
0.27500,1734,-0.11828
0.28750,1735,-0.41153
0.30000,1737,-0.36266
0.31250,1739,-0.65591
0.32500,1740,-0.65591
0.33750,1742,-1.43793
0.35000,1743,-1.92669
0.36250,1745,-1.73118
0.37500,1746,-3.19746
0.38750,1748,-3.29521
0.40000,1749,-3.29521
0.41250,1751,-3.53959
0.42500,1752,-3.05083
0.43750,1754,-2.85533
0.45000,1755,-3.05083
0.46250,1757,-2.61095
0.47500,1758,-2.90420
0.48750,1760,-3.29521
0.50000,1761,-3.09971
0.51250,1763,-3.24633
0.52500,1764,-3.00195
0.53750,1766,-3.19746
0.55000,1767,-3.29521
0.56250,1769,-3.09971
0.57501,1770,-2.46432
0.58750,1772,-3.39296
0.60000,1773,-3.05083
0.61250,1775,-3.68622
0.62500,1776,-3.44184
0.63750,1777,-2.65982
0.65000,1779,-3.78397
0.66250,1780,-2.26882
0.67500,1782,-3.09971
0.68750,1783,-3.19746
0.70000,1785,-3.44184
0.71250,1786,-3.73509
0.72500,1787,-3.63734
0.73750,1789,-3.88172
0.75000,1790,-3.68622
0.76250,1792,-3.68622
0.77501,1793,-2.90420
0.78750,1794,-3.24633
0.80000,1796,-4.12610
0.81250,1797,-3.73509
0.82500,1799,-3.97947
0.83750,1800,-3.63734
0.85000,1801,-3.44184
0.86250,1803,-3.93060
0.87500,1804,-4.17498
0.88750,1805,-3.68622
0.90001,1807,-2.95308
0.91250,1808,-4.12610
0.92500,1809,-4.27273
0.93751,1811,-3.88172
0.95000,1812,-3.09971
0.96250,1813,-4.32160
0.97500,1814,-4.27273
0.98750,1816,-4.02835
1.00000,1817,-4.17498
1.01250,1818,-4.17498
1.02500,1820,-4.22385
1.03750,1821,-2.90420
1.05000,1822,-4.32160
1.06250,1823,-4.02835
1.07500,1825,-3.63734
1.08750,1826,-4.66373
1.10000,1827,-4.17498
1.11250,1828,-4.27273
1.12500,1829,-4.46823
1.13750,1831,-4.51711
1.15000,1832,-3.24633
1.16250,1833,-4.51711
1.17500,1834,-4.22385
1.18750,1835,-3.88172
1.20000,1836,-4.61486
1.21251,1838,-4.27273
1.22500,1839,-4.66373
1.23750,1840,-4.37048
1.25000,1841,-3.83284
1.26250,1842,-4.76149
1.27500,1843,-4.41936
1.28750,1844,-4.85924
1.30000,1845,-4.46823
1.31251,1846,-4.66373
1.32500,1847,-5.00586
1.33750,1848,-4.41936
1.35000,1850,-4.02835
1.36250,1851,-4.66373
1.37500,1852,-4.07722
1.38750,1853,-3.78397
1.40000,1854,-4.56598
1.41250,1855,-4.12610
1.42500,1856,-4.32160
1.43750,1857,-4.90811
1.45000,1858,-4.41936
1.46250,1858,-4.51711
1.47500,1859,-4.76149
1.48750,1860,-4.37048
1.50000,1861,-3.88172
1.51250,1862,-4.85924
1.52500,1863,-4.02835
1.53750,1864,-4.81036
1.55000,1865,-5.15249
1.56250,1866,-3.68622
1.57500,1867,-4.56598
1.58750,1868,-5.10362
1.60000,1868,-4.95699
1.61250,1869,-4.76149
1.62500,1870,-4.37048
1.63750,1871,-5.05474
1.65000,1872,-3.78397
1.66251,1872,-4.32160
1.67500,1873,-4.81036
1.68750,1874,-5.05474
1.70000,1875,-3.83284
1.71250,1876,-4.76149
1.72500,1876,-3.68622
1.73750,1877,-5.25024
1.75000,1878,-5.10362
1.76250,1878,-3.68622
1.77500,1879,-3.73509
1.78750,1880,-4.81036
1.80000,1880,-5.34800
1.81250,1881,-3.63734
1.82500,1882,-4.71261
1.83750,1882,-5.00586
1.85000,1883,-4.81036
1.86250,1884,-4.76149
1.87500,1884,-4.95699
1.88750,1885,-3.73509
1.90000,1885,-3.73509
1.91250,1886,-3.29521
1.92500,1887,-3.58846
1.93750,1887,-4.46823
1.95000,1888,-4.12610
1.96250,1888,-4.46823
1.97500,1889,-4.85924
1.98750,1889,-4.41936
2.00000,1890,-3.88172
2.01250,1890,-4.02835
2.02500,1891,-3.00195
2.03750,1891,-4.46823
2.05000,1892,-4.71261
2.06250,1892,-5.00586
2.07500,1892,-3.68622
2.08750,1893,-4.07722
2.10000,1893,-4.17498
2.11250,1894,-4.41936
2.12500,1894,-4.90811
2.13750,1894,-5.05474
2.15000,1895,-4.17498
2.16250,1895,-4.81036
2.17500,1895,-3.58846
2.18750,1896,-5.10362
2.20000,1896,-5.25024
2.21250,1896,-4.22385
2.22500,1897,-3.63734
2.23750,1897,-4.85924
2.25000,1897,-4.66373
2.26250,1897,-3.44184
2.27500,1898,-3.78397
2.28751,1898,-4.61486
2.30000,1898,-3.83284
2.31250,1898,-5.20137
2.32500,1898,-3.39296
2.33750,1898,-3.29521
2.35000,1899,-3.53959
2.36250,1899,-4.17498
2.37500,1899,-4.32160
2.38750,1899,-3.39296
2.40000,1899,-3.73509
2.41250,1899,-4.27273
2.42500,1899,-4.90811
2.43750,1899,-4.37048
2.45000,1899,-4.61486
2.46250,1899,-4.17498
2.47500,1899,-4.71261
2.48750,1899,-4.17498
2.50000,1900,-5.10362
2.51250,1899,-4.51711
2.52500,1899,-4.71261
2.53750,1899,-3.63734
2.55000,1899,-4.85924
2.56250,1899,-4.46823
2.57501,1899,-3.14858
2.58750,1899,-4.02835
2.60000,1899,-3.29521
2.61250,1899,-3.24633
2.62500,1899,-4.17498
2.63750,1899,-3.83284
2.65000,1899,-4.46823
2.66250,1898,-4.22385
2.67500,1898,-4.71261
2.68750,1898,-4.71261
2.70000,1898,-4.71261
2.71250,1898,-4.46823
2.72500,1898,-4.85924
2.73750,1897,-4.71261
2.75000,1897,-4.81036
2.76250,1897,-4.71261
2.77500,1897,-4.76149
2.78750,1896,-4.76149
2.80000,1896,-4.76149
2.81250,1896,-4.66373
2.82500,1895,-4.76149
2.83750,1895,-4.71261
